image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt"
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt
https://m.media-amazon.com/images/I/71CaCOFKK3L.jpg,524635,item_weight,30.0 gram
https://m.media-amazon.com/images/I/51L8nen317L.jpg,278696,depth,2.5 inch
https://m.media-amazon.com/images/I/51OuyI1duzS.jpg,131797,depth,5.0 inch
https://m.media-amazon.com/images/I/51KEI6Bri8L.jpg,120219,height,27.0 centimetre
https://m.media-amazon.com/images/I/71to+PoTy9L.jpg,254449,item_weight,200.0 milligram
https://m.media-amazon.com/images/I/71YkM1vA2dL.jpg,308856,item_weight,482 gram
https://m.media-amazon.com/images/I/51f1QeE6QYL.jpg,648011,height,75.0 millimetre
https://m.media-amazon.com/images/I/81r0neFw-YL.jpg,297918,item_weight,100.0 gram
https://m.media-amazon.com/images/I/710+QRcBzTL.jpg,558374,item_weight,23.81 ounce
https://m.media-amazon.com/images/I/51doQDVh9bL.jpg,725915,width,1.5 inch
https://m.media-amazon.com/images/I/81LcD0EbquL.jpg,375816,item_weight,186.0 gram
https://m.media-amazon.com/images/I/51UF8RuRxmL.jpg,478357,width,30.0 centimetre
https://m.media-amazon.com/images/I/51XVYns3-BL.jpg,149159,width,19.0 centimetre
https://m.media-amazon.com/images/I/61Rqd5m9MzL.jpg,993359,item_weight,10.0 gram
https://m.media-amazon.com/images/I/618jf3VcOdL.jpg,638301,depth,1.0 metre
https://m.media-amazon.com/images/I/71Vlaa08lQL.jpg,318770,wattage,66.0 watt
https://m.media-amazon.com/images/I/61rzPIXxy5L.jpg,459516,item_weight,10 gram
https://m.media-amazon.com/images/I/71VvFufDQyL.jpg,273748,item_weight,0.46 kilogram
https://m.media-amazon.com/images/I/61sOkQwkFAS.jpg,523149,item_weight,2.5 gram
https://m.media-amazon.com/images/I/81OFyxQHqTL.jpg,407921,item_weight,148.0 gram
https://m.media-amazon.com/images/I/612vRUx2qTL.jpg,521308,height,35.0 inch
https://m.media-amazon.com/images/I/61CJESj9xyL.jpg,221399,maximum_weight_recommendation,200 kilogram
https://m.media-amazon.com/images/I/513dFWz-+FL.jpg,244283,height,4.3 inch
https://m.media-amazon.com/images/I/71fxPTzkAZL.jpg,709627,item_weight,0.46 pound
https://m.media-amazon.com/images/I/518EhSmGD-L.jpg,648011,height,80.0 millimetre
https://m.media-amazon.com/images/I/71j7ac3fd2L.jpg,254449,item_weight,200.0 milligram
https://m.media-amazon.com/images/I/81mJAzjpAoS.jpg,396159,item_weight,12.0 gram
https://m.media-amazon.com/images/I/61F-nZjw5pL.jpg,931247,width,4.0 foot
https://m.media-amazon.com/images/I/712Yh2iwW+L.jpg,881883,item_weight,2.0 ton
https://m.media-amazon.com/images/I/516B3hXD16L.jpg,916768,depth,9.0 inch
https://m.media-amazon.com/images/I/61hr1gcL80L.jpg,523149,item_weight,14.0 gram
https://m.media-amazon.com/images/I/618gi8GZT7L.jpg,358166,depth,14.0 metre
https://m.media-amazon.com/images/I/61Bit63fSOL.jpg,492950,height,26.5 centimetre
https://m.media-amazon.com/images/I/51cyULrdh3L.jpg,734280,width,33.0 centimetre
https://m.media-amazon.com/images/I/51yem48y8+L.jpg,524117,height,19.5 centimetre
